Crypto Name,Price,24H Change,24H Volume,Market cap
BTC,"$17,281.83",+0.16%,$15.63 B,$330.88 B
ETH,"$1,280.59",-0.50%,$3.98 B,$154.99 B
USDT,$1.02,+0.01%,$19.01 B,$65.73 B
BNB,$291.63,-0.40%,$568.54 M,$46.02 B
USDC,$1.00,-0.01%,$1.55 B,$42.71 B
BUSD,$1.00,+0.25%,$4.45 B,$22.17 B
XRP,$0.3928,-0.11%,$437.67 M,$19.52 B
DOGE,$0.09828,-0.35%,$330.21 M,$12.86 B
ADA,$0.3176,+0.19%,$134.08 M,$10.8 B
MATIC,$0.9201,-1.38%,$195.59 M,$7.93 B
DOT,$5.40,-1.28%,$120.17 M,$6.04 B
DAI,$1.01,+0.21%,$101.09 M,$5.89 B
WTRX,$0.05476,-0.03%,"$234,419",$5.57 B
LTC,$77.40,-0.60%,$318.37 M,$5.48 B
TRX,$0.05499,+0.76%,$145.54 M,$5.06 B
SHIB,$0.000009413,-0.27%,$65.85 M,$5.06 B
SOL,$14.22,-0.95%,$152.6 M,$4.97 B
HEX,$0.02853,-0.67%,$1.9 M,$4.95 B
UNI,$6.23,+0.27%,$60.97 M,$4.66 B
stETH,"$1,230.27",-0.85%,$3.42 M,$4.29 B
AVAX,$13.63,-0.03%,$94.77 M,$4.17 B
LEO,$3.76,+0.00%,$1.25 M,$3.59 B
LINK,$6.97,-1.08%,$161.37 M,$3.49 B
WBTC,"$17,357.51",+0.02%,$41.39 M,$3.43 B
ATOM,$9.90,+0.10%,$73.68 M,$2.79 B
XMR,$149.85,+2.16%,$61.68 M,$2.73 B
ETC,$19.58,+0.43%,$83.45 M,$2.66 B
TON,$1.84,+1.00%,$27.57 M,$2.25 B
XLM,$0.08655,+0.40%,$35.13 M,$2.19 B
BCH,$111.65,-0.78%,$107.75 M,$2.11 B
ALGO,$0.2322,+2.66%,$45.9 M,$1.63 B
CRO,$0.06506,+0.44%,$21.43 M,$1.62 B
FIL,$4.47,-0.18%,$56.38 M,$1.47 B
APE,$4.11,+2.59%,$131.97 M,$1.46 B
QNT,$122.23,-2.31%,$22.09 M,$1.44 B
NEAR,$1.73,+0.66%,$38.22 M,$1.43 B
VET,$0.01989,+1.51%,$32.66 M,$1.4 B
OKB,$21.46,+1.16%,$15.5 M,$1.29 B
ICP,$4.44,-0.45%,$18.42 M,$1.21 B
HBAR,$0.0508,+1.05%,$10.95 M,$1.2 B
EOS,$1.06,+0.10%,$151.22 M,$1.12 B
WBNB,$288.03,+0.09%,$39.55 M,$1.1 B
EGLD,$46.41,-0.78%,$22.56 M,$1.09 B
TWT,$2.54,-1.90%,$50.24 M,$1.06 B
FLOW,$1.04,+0.44%,$29.46 M,$1.06 B
LUNC,$0.000187,+0.02%,$49.94 M,$1.03 B
FRAX,$0.9975,+0.03%,$4.27 M,$1.02 B
HT,$6.45,-0.58%,$9.59 M,$988.79 M
USDP,$1.00,+0.00%,"$777,223",$945.85 M
CHZ,$0.1533,+0.02%,$77.29 M,$924.96 M
